"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 07 19:20:50 GMT 2022","Thu Jul 07 19:20:57 GMT 2022","6468","","TestRoxo","","TestRoxo","RewriteDataTest","Modify and delete data",""
"passed","Thu Jul 07 19:20:57 GMT 2022","Thu Jul 07 19:21:03 GMT 2022","6620","","TestRoxo","","TestRoxo","RegUsersTest","Register more users from file",""
"passed","Thu Jul 07 19:21:04 GMT 2022","Thu Jul 07 19:21:05 GMT 2022","1184","","TestRoxo","","TestRoxo","LoginTest2","Login2",""
"passed","Thu Jul 07 19:20:47 GMT 2022","Thu Jul 07 19:20:49 GMT 2022","1213","","TestRoxo","","TestRoxo","ReadFromFileTest","Read from file1",""
"passed","Thu Jul 07 19:20:43 GMT 2022","Thu Jul 07 19:20:45 GMT 2022","1733","","TestRoxo","","TestRoxo","RegisterTest","Registration",""
"passed","Thu Jul 07 19:21:12 GMT 2022","Thu Jul 07 19:21:14 GMT 2022","1688","","TestRoxo","","TestRoxo","SaveDataTest","Save data to file",""
"failed","Thu Jul 07 19:21:03 GMT 2022","Thu Jul 07 19:21:04 GMT 2022","634","","TestRoxo","","TestRoxo","LoginTest1","Login1",""
"passed","Thu Jul 07 19:20:45 GMT 2022","Thu Jul 07 19:20:47 GMT 2022","2312","","TestRoxo","","TestRoxo","DataListTest","Listing data",""
"passed","Thu Jul 07 19:21:05 GMT 2022","Thu Jul 07 19:21:09 GMT 2022","3710","","TestRoxo","","TestRoxo","InputNewDataTest","Input new data",""
"passed","Thu Jul 07 19:20:49 GMT 2022","Thu Jul 07 19:20:50 GMT 2022","1800","","TestRoxo","","TestRoxo","PagingTest","Getting through multi-pages list",""
"passed","Thu Jul 07 19:21:09 GMT 2022","Thu Jul 07 19:21:12 GMT 2022","3400","","TestRoxo","","TestRoxo","LogoutTest","Logout",""
